,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Mins,Gls,Ast,G+A,xG,PrgC,PrgP,PrgR,Shots,Shts on Target,TklW,Blocks,Int,Succ Takeons,Recov,Aerial Duels,Pass CmpRate,LongPass CmpRate,KeyPasses,PassPA,FinalThird Passes,CrsPA
2920,2023,Ajaccio,Ligue 1,Mickaël Alphonse,GLP,DF,33.0,1361,0,0,0,0.5,30.0,51.0,34.0,10,2,23,17.0,35,10.0,89.0,32.0,65.3,33.8,11.0,10.0,43.0,5.0
2921,2023,Ajaccio,Ligue 1,Cédric Avinel,GLP,DF,35.0,1794,1,0,1,1.0,3.0,31.0,1.0,3,1,7,20.0,15,0.0,93.0,38.0,85.0,65.7,0.0,0.0,13.0,0.0
2922,2023,Ajaccio,Ligue 1,Mickaël Barreto,FRA,MF,31.0,1325,1,1,2,0.9,26.0,87.0,53.0,19,4,20,17.0,18,23.0,100.0,9.0,69.2,46.2,18.0,16.0,71.0,7.0
2923,2023,Ajaccio,Ligue 1,Cyrille Bayala,BFA,MF,26.0,2009,1,1,2,2.0,46.0,66.0,109.0,22,6,37,20.0,25,25.0,150.0,41.0,61.0,31.6,19.0,14.0,45.0,7.0
2924,2023,Ajaccio,Ligue 1,Youcef Belaïli,ALG,"MF,FW",30.0,1150,6,3,9,6.2,32.0,55.0,68.0,27,9,10,10.0,5,29.0,75.0,7.0,71.6,59.5,21.0,22.0,35.0,6.0
2925,2023,Ajaccio,Ligue 1,Kouamé Botué,BFA,"FW,MF",19.0,229,0,0,0,1.2,4.0,4.0,16.0,7,0,2,1.0,0,1.0,13.0,10.0,70.2,0.0,3.0,1.0,6.0,0.0
2926,2023,Ajaccio,Ligue 1,Florian Chabrolle,FRA,MF,24.0,329,0,0,0,0.1,1.0,14.0,8.0,2,1,4,3.0,7,0.0,22.0,1.0,87.0,44.4,0.0,2.0,7.0,0.0
2927,2023,Ajaccio,Ligue 1,Ivane Chegra,FRA,"MF,FW",18.0,193,0,0,0,0.0,7.0,7.0,5.0,1,0,3,0.0,1,3.0,12.0,2.0,52.5,44.4,1.0,1.0,5.0,0.0
2928,2023,Ajaccio,Ligue 1,Yanis Cimignani,FRA,"MF,DF",20.0,279,0,0,0,0.2,3.0,0.0,17.0,6,2,5,5.0,2,2.0,12.0,0.0,66.4,57.1,3.0,2.0,1.0,2.0
2929,2023,Ajaccio,Ligue 1,Mathieu Coutadeur,FRA,MF,36.0,1947,0,0,0,0.1,20.0,110.0,22.0,4,0,13,19.0,19,5.0,150.0,9.0,84.0,70.7,10.0,7.0,100.0,1.0
2930,2023,Ajaccio,Ligue 1,Ismael Diallo,CIV,DF,25.0,2176,0,0,0,0.3,36.0,70.0,36.0,3,0,33,26.0,30,14.0,166.0,26.0,74.6,52.7,9.0,8.0,73.0,4.0
2931,2023,Ajaccio,Ligue 1,Moussa Djitte,SEN,FW,22.0,136,0,0,0,0.1,0.0,2.0,12.0,2,0,0,0.0,0,0.0,5.0,5.0,75.0,50.0,1.0,1.0,3.0,0.0
2932,2023,Ajaccio,Ligue 1,Oumar Gonzalez,CMR,DF,24.0,2578,0,0,0,1.0,12.0,54.0,5.0,11,3,28,32.0,52,7.0,157.0,63.0,81.6,54.7,1.0,1.0,29.0,0.0
2933,2023,Ajaccio,Ligue 1,Ben Hamed Touré,CIV,FW,18.0,209,0,0,0,0.1,2.0,1.0,8.0,2,0,4,2.0,1,3.0,5.0,2.0,77.8,0.0,0.0,0.0,1.0,0.0
2934,2023,Ajaccio,Ligue 1,Romain Hamouma,FRA,"FW,MF",35.0,1079,2,2,4,3.2,29.0,47.0,110.0,16,6,3,8.0,2,16.0,33.0,12.0,72.3,45.5,13.0,8.0,29.0,1.0
2935,2023,Ajaccio,Ligue 1,Mounaim El Idrissy,FRA,FW,23.0,2497,6,0,6,7.2,21.0,40.0,173.0,50,19,19,22.0,13,11.0,67.0,110.0,66.4,50.0,13.0,9.0,33.0,1.0
2936,2023,Ajaccio,Ligue 1,Anthony Khelifa,FRA,DF,16.0,10,0,0,0,0.0,1.0,1.0,0.0,0,0,0,0.0,0,0.0,2.0,0.0,91.7,100.0,0.0,0.0,1.0,0.0
2937,2023,Ajaccio,Ligue 1,Youssouf Koné,MLI,DF,27.0,916,0,0,0,0.0,14.0,23.0,16.0,1,1,19,9.0,12,8.0,67.0,4.0,75.6,46.2,1.0,3.0,22.0,2.0
2938,2023,Ajaccio,Ligue 1,Qazim Laçi,ALB,MF,26.0,212,0,0,0,0.2,0.0,24.0,4.0,4,0,3,5.0,2,2.0,20.0,4.0,78.2,67.7,3.0,1.0,18.0,0.0
2939,2023,Ajaccio,Ligue 1,Paolo Lebas,FRA,MF,19.0,55,0,0,0,0.0,0.0,2.0,0.0,0,0,0,0.0,0,1.0,3.0,0.0,75.0,0.0,0.0,0.0,2.0,0.0
2940,2023,Ajaccio,Ligue 1,Benjamin Leroy,FRA,GK,33.0,2798,0,0,0,0.0,0.0,1.0,0.0,0,0,0,0.0,1,0.0,46.0,2.0,60.9,44.0,0.0,0.0,22.0,0.0
2941,2023,Ajaccio,Ligue 1,Ruan Levine,BRA,"MF,FW",23.0,24,0,0,0,0.2,0.0,1.0,4.0,2,1,2,1.0,2,2.0,4.0,0.0,92.9,0.0,1.0,0.0,1.0,0.0
2942,2023,Ajaccio,Ligue 1,Thomas Mangani,FRA,MF,35.0,1332,1,1,2,2.0,9.0,92.0,15.0,9,0,17,22.0,24,4.0,94.0,20.0,69.7,54.1,26.0,12.0,78.0,4.0
2943,2023,Ajaccio,Ligue 1,Vincent Marchetti,FRA,MF,25.0,2452,0,2,2,2.3,66.0,143.0,58.0,37,9,26,23.0,19,46.0,168.0,5.0,79.2,64.0,15.0,24.0,107.0,0.0
2944,2023,Ajaccio,Ligue 1,Fernand Mayembo,CGO,DF,26.0,707,0,0,0,1.2,2.0,11.0,1.0,4,0,5,2.0,11,4.0,50.0,15.0,85.9,67.9,2.0,0.0,7.0,0.0
2945,2023,Ajaccio,Ligue 1,Bevic Moussiti-Oko,CGO,FW,27.0,698,1,0,1,1.8,10.0,10.0,45.0,20,7,1,5.0,2,13.0,27.0,53.0,55.2,50.0,5.0,2.0,10.0,0.0
2946,2023,Ajaccio,Ligue 1,Riad Nouri,FRA,"MF,FW",37.0,1693,1,1,2,2.3,33.0,39.0,144.0,16,4,12,8.0,15,13.0,84.0,13.0,67.8,37.8,25.0,14.0,33.0,12.0
2947,2023,Ajaccio,Ligue 1,Mehdi Puch Herrantz,FRA,MF,18.0,47,0,0,0,0.0,3.0,4.0,1.0,0,0,2,1.0,3,1.0,6.0,0.0,78.6,100.0,2.0,1.0,2.0,0.0
2948,2023,Ajaccio,Ligue 1,Ghjuvanni Quilichini,FRA,GK,19.0,82,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,1.0,0.0,41.2,28.6,0.0,0.0,0.0,0.0
2949,2023,Ajaccio,Ligue 1,François-Joseph Sollacaro,FRA,GK,28.0,540,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,6.0,0.0,47.9,28.3,0.0,0.0,1.0,0.0
2950,2023,Ajaccio,Ligue 1,Moussa Soumano,FRA,FW,17.0,495,1,0,1,0.5,5.0,1.0,19.0,6,2,2,2.0,0,5.0,10.0,8.0,64.2,33.3,5.0,1.0,0.0,1.0
2951,2023,Ajaccio,Ligue 1,Kevin Spadanuda,SUI,"MF,FW",25.0,1063,0,1,1,0.7,17.0,17.0,56.0,7,1,18,18.0,11,23.0,65.0,5.0,80.3,57.1,8.0,2.0,15.0,0.0
2952,2023,Ajaccio,Ligue 1,Tony Strata,FRA,"MF,DF",17.0,138,0,0,0,0.0,1.0,2.0,0.0,0,0,3,2.0,1,0.0,9.0,0.0,78.4,28.6,1.0,0.0,1.0,0.0
2953,2023,Ajaccio,Ligue 1,Yoann Touzghar,TUN,FW,35.0,447,0,0,0,0.2,3.0,7.0,24.0,3,0,2,0.0,0,2.0,10.0,9.0,71.4,66.7,1.0,0.0,5.0,0.0
2954,2023,Ajaccio,Ligue 1,Clément Vidal,FRA,"DF,MF",22.0,1901,1,0,1,0.8,3.0,61.0,3.0,12,2,15,27.0,27,1.0,92.0,50.0,76.9,61.6,1.0,2.0,52.0,1.0
2955,2023,Ajaccio,Ligue 1,Mohamed Youssouf,COM,DF,34.0,2459,0,0,0,0.3,48.0,91.0,83.0,5,1,44,32.0,65,11.0,140.0,47.0,72.9,44.9,15.0,24.0,83.0,17.0
2956,2023,Almería,La Liga,Sergio Akieme,ESP,DF,24.0,2297,1,0,1,1.5,60.0,58.0,84.0,23,7,16,22.0,14,27.0,127.0,14.0,77.4,40.6,21.0,22.0,43.0,17.0
2957,2023,Almería,La Liga,Srđan Babić,SRB,DF,26.0,2998,3,0,3,1.2,21.0,63.0,5.0,9,5,18,34.0,29,4.0,136.0,71.0,85.4,63.7,7.0,3.0,55.0,1.0
